Rank,Team,GM,W-L,FT,FTA,FT%
239,Western Ill. (Summit League),30,16-14,392,560,70
201,Western Ky. (C-USA),33,17-16,428,601,71.2
191,Western Mich. (MAC),31,8-23,344,482,71.4
183,Wichita St. (AAC),32,17-15,406,567,71.6
293,William & Mary (CAA),33,13-20,381,559,68.2
93,Winthrop (Big South),32,15-17,503,681,73.9
310,Wisconsin (Big Ten),31,17-14,287,428,67.1
100,Wofford (SoCon),33,17-16,407,552,73.7
102,Wright St. (Horizon),33,18-15,370,502,73.7
206,Wyoming (Mountain West),31,9-22,396,557,71.1
190,Xavier (Big East),34,25-9,457,640,71.4
255,Yale (Ivy League),29,21-8,360,517,69.6
10,Youngstown St. (Horizon),33,24-9,468,602,77.7
