Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
195,Lamar University (Southland),31,9-22,"1,119",36.1,"1,110",35.8,0.3
298,Lehigh (Patriot),30,16-14,"1,006",33.5,"1,084",36.1,-2.6
50,Liberty (ASUN),34,26-8,"1,155",34,"1,020",30,4
81,Lipscomb (ASUN),33,20-13,"1,198",36.3,"1,094",33.2,3.2
226,Little Rock (OVC),31,10-21,"1,107",35.7,"1,124",36.3,-0.5
304,LIU (NEC),29,3-26,"1,005",34.7,"1,086",37.4,-2.8
42,LMU (CA) (WCC),31,19-12,"1,119",36.1,983,31.7,4.4
21,Long Beach St. (Big West),33,17-16,"1,341",40.6,"1,148",34.8,5.8
80,Longwood (Big South),32,20-12,"1,111",34.7,"1,009",31.5,3.2
131,Louisiana Tech (C-USA),33,15-18,"1,145",34.7,"1,077",32.6,2.1
14,Louisiana (Sun Belt),33,26-7,"1,214",36.8,"1,002",30.4,6.4
248,Louisville (ACC),32,4-28,"1,031",32.2,"1,064",33.2,-1
264,Loyola Chicago (Atlantic 10),31,10-21,960,31,"1,007",32.5,-1.5
262,Loyola Maryland (Patriot),33,13-20,"1,035",31.4,"1,082",32.8,-1.4
175,LSU (SEC),33,14-19,"1,156",35,"1,125",34.1,0.9
319,Maine (America East),30,13-17,924,30.8,"1,029",34.3,-3.5
331,Manhattan (MAAC),30,12-18,952,31.7,"1,085",36.2,-4.4
267,Marist (MAAC),33,13-20,"1,131",34.3,"1,184",35.9,-1.6
322,Marquette (Big East),34,28-6,"1,084",31.9,"1,210",35.6,-3.7
189,Marshall (Sun Belt),32,24-8,"1,247",39,"1,233",38.5,0.4
128,Maryland (Big Ten),33,21-12,"1,114",33.8,"1,045",31.7,2.1
61,Massachusetts (Atlantic 10),31,15-16,"1,187",38.3,"1,071",34.5,3.7
176,McNeese (Southland),34,11-23,"1,198",35.2,"1,169",34.4,0.9
177,Memphis (AAC),34,26-8,"1,220",35.9,"1,195",35.1,0.7
109,Mercer (SoCon),33,14-19,"1,144",34.7,"1,065",32.3,2.4
100,Miami (FL) (ACC),32,25-7,"1,106",34.6,"1,021",31.9,2.7
280,Miami (OH) (MAC),32,12-20,"1,022",31.9,"1,086",33.9,-2
88,Michigan St. (Big Ten),31,19-12,"1,106",35.7,"1,012",32.6,3
179,Michigan (Big Ten),32,17-15,"1,170",36.6,"1,148",35.9,0.7
140,Middle Tenn. (C-USA),33,19-14,"1,109",33.6,"1,047",31.7,1.9
89,Milwaukee (Horizon),32,21-11,"1,251",39.1,"1,155",36.1,3
317,Minnesota (Big Ten),31,9-22,"1,017",32.8,"1,122",36.2,-3.4
55,Mississippi St. (SEC),33,21-12,"1,239",37.5,"1,110",33.6,3.9
312,Mississippi Val. (SWAC),32,5-27,"1,027",32.1,"1,129",35.3,-3.2
51,Missouri St. (MVC),32,17-15,"1,124",35.1,997,31.2,4
350,Missouri (SEC),33,24-9,"1,001",30.3,"1,233",37.4,-7
316,Monmouth (CAA),33,7-26,"1,088",33,"1,196",36.2,-3.3
108,Montana St. (Big Sky),34,25-9,"1,127",33.1,"1,045",30.7,2.4
202,Montana (Big Sky),31,17-14,942,30.4,940,30.3,0.1
48,Morehead St. (OVC),32,21-11,"1,142",35.7,"1,014",31.7,4
318,Morgan St. (MEAC),31,15-16,"1,074",34.6,"1,182",38.1,-3.5
237,Mount St. Mary's (MAAC),33,13-20,"1,110",33.6,"1,136",34.4,-0.8
182,Murray St. (MVC),32,17-15,"1,111",34.7,"1,093",34.2,0.6
324,N.C. A&T (CAA),32,13-19,"1,136",35.5,"1,258",39.3,-3.8
68,N.C. Central (MEAC),30,18-12,"1,073",35.8,966,32.2,3.6
141,Navy (Patriot),31,18-13,"1,068",34.5,"1,010",32.6,1.9
148,NC State (ACC),33,23-10,"1,209",36.6,"1,151",34.9,1.8
246,Nebraska (Big Ten),32,16-16,"1,105",34.5,"1,137",35.5,-1
207,Nevada (Mountain West),32,22-10,"1,076",33.6,"1,079",33.7,-0.1
251,New Hampshire (America East),30,15-15,"1,071",35.7,"1,105",36.8,-1.1
138,New Mexico St. (WAC),24,9-15,852,35.5,806,33.6,1.9
113,New Mexico (Mountain West),33,22-11,"1,222",37,"1,144",34.7,2.4
271,New Orleans (Southland),32,12-20,"1,032",32.2,"1,086",33.9,-1.7
211,Niagara (MAAC),31,16-15,944,30.5,949,30.6,-0.2
254,Nicholls (Southland),31,16-15,"1,075",34.7,"1,114",35.9,-1.3
332,NIU (MAC),32,13-19,"1,060",33.1,"1,203",37.6,-4.5
314,NJIT (America East),30,7-23,"1,022",34.1,"1,118",37.3,-3.2
37,Norfolk St. (MEAC),33,22-11,"1,185",35.9,"1,032",31.3,4.6
250,North Ala. (ASUN),32,18-14,"1,098",34.3,"1,134",35.4,-1.1
25,North Carolina (ACC),33,20-13,"1,304",39.5,"1,127",34.2,5.4
91,North Dakota St. (Summit League),33,16-17,"1,191",36.1,"1,095",33.2,2.9
276,North Dakota (Summit League),33,13-20,"1,101",33.4,"1,160",35.2,-1.8
313,North Florida (ASUN),31,14-17,"1,058",34.1,"1,157",37.3,-3.2
33,North Texas (C-USA),33,26-7,"1,111",33.7,947,28.7,5
86,Northeastern (CAA),30,10-20,"1,081",36,988,32.9,3.1
205,Northern Ariz. (Big Sky),35,12-23,"1,189",34,"1,190",34,0
266,Northern Colo. (Big Sky),32,12-20,"1,068",33.4,"1,118",34.9,-1.6
247,Northern Ky. (Horizon),34,22-12,"1,103",32.4,"1,138",33.5,-1
280,Northwestern St. (Southland),33,22-11,"1,114",33.8,"1,180",35.8,-2
225,Northwestern (Big Ten),32,21-11,"1,107",34.6,"1,124",35.1,-0.5
335,Notre Dame (ACC),32,11-21,994,31.1,"1,146",35.8,-4.8
344,Oakland (Horizon),32,13-19,977,30.5,"1,174",36.7,-6.2
94,Ohio St. (Big Ten),35,16-19,"1,257",35.9,"1,159",33.1,2.8
81,Ohio (MAC),33,19-14,"1,239",37.5,"1,135",34.4,3.2
81,Oklahoma St. (Big 12),33,18-15,"1,214",36.8,"1,110",33.6,3.2
206,Oklahoma (Big 12),32,15-17,"1,049",32.8,"1,050",32.8,0
97,Old Dominion (Sun Belt),31,19-12,"1,175",37.9,"1,089",35.1,2.8
153,Ole Miss (SEC),33,12-21,"1,180",35.8,"1,127",34.2,1.6
296,Omaha (Summit League),32,9-23,"1,037",32.4,"1,120",35,-2.6
188,Oral Roberts (Summit League),34,30-4,"1,256",36.9,"1,241",36.5,0.4
294,Oregon St. (Pac-12),32,11-21,996,31.1,"1,075",33.6,-2.5
25,Oregon (Pac-12),33,19-14,"1,223",37.1,"1,046",31.7,5.4
337,Pacific (WCC),33,15-18,"1,044",31.6,"1,219",36.9,-5.3
288,Penn St. (Big Ten),35,22-13,"1,140",32.6,"1,220",34.9,-2.3
57,Penn (Ivy League),30,17-13,"1,128",37.6,"1,014",33.8,3.8
256,Pepperdine (WCC),31,9-22,"1,109",35.8,"1,149",37.1,-1.3
114,Pittsburgh (ACC),33,22-11,"1,193",36.2,"1,116",33.8,2.3
333,Portland St. (Big Sky),31,12-19,974,31.4,"1,113",35.9,-4.5
301,Portland (WCC),33,14-19,"1,082",32.8,"1,169",35.4,-2.6
160,Prairie View (SWAC),32,13-19,"1,123",35.1,"1,079",33.7,1.4
209,Presbyterian (Big South),32,5-27,"1,048",32.8,"1,052",32.9,-0.1
13,Princeton (Ivy League),29,21-8,"1,140",39.3,951,32.8,6.5
15,Providence (Big East),32,21-11,"1,226",38.3,"1,021",31.9,6.4
174,Purdue Fort Wayne (Horizon),32,17-15,"1,139",35.6,"1,107",34.6,1
1,Purdue (Big Ten),34,29-5,"1,312",38.6,942,27.7,10.9
78,Quinnipiac (MAAC),32,20-12,"1,197",37.4,"1,092",34.1,3.3
128,Radford (Big South),33,19-14,"1,103",33.4,"1,034",31.3,2.1
172,Rhode Island (Atlantic 10),31,9-22,"1,148",37,"1,115",36,1.1
198,Rice (C-USA),33,18-15,"1,145",34.7,"1,137",34.5,0.2
282,Richmond (Atlantic 10),33,15-18,"1,067",32.3,"1,137",34.5,-2.1
38,Rider (MAAC),30,16-14,"1,085",36.2,947,31.6,4.6
173,Robert Morris (Horizon),33,16-17,"1,145",34.7,"1,110",33.6,1.1
99,Rutgers (Big Ten),33,19-14,"1,221",37,"1,132",34.3,2.7
19,Sacramento St. (Big Sky),32,14-18,"1,141",35.7,950,29.7,6
260,Sacred Heart (NEC),33,16-17,"1,180",35.8,"1,226",37.2,-1.4
239,Saint Francis (PA) (NEC),31,13-18,"1,037",33.5,"1,062",34.3,-0.8
267,Saint Joseph's (Atlantic 10),33,16-17,"1,142",34.6,"1,195",36.2,-1.6
43,Saint Louis (Atlantic 10),33,21-12,"1,254",38,"1,110",33.6,4.4
9,Saint Mary's (CA) (WCC),33,26-7,"1,177",35.7,940,28.5,7.2
103,Saint Peter's (MAAC),32,14-18,"1,119",35,"1,037",32.4,2.6
12,Sam Houston (WAC),32,25-7,"1,188",37.1,976,30.5,6.6
118,Samford (SoCon),32,21-11,"1,137",35.5,"1,066",33.3,2.2
39,San Diego St. (Mountain West),33,27-6,"1,181",35.8,"1,034",31.3,4.5
269,San Diego (WCC),31,11-20,"1,027",33.1,"1,077",34.7,-1.6
147,San Francisco (WCC),34,20-14,"1,173",34.5,"1,113",32.7,1.8
6,San Jose St. (Mountain West),33,20-13,"1,250",37.9,"1,002",30.4,7.5
34,Santa Clara (WCC),32,23-9,"1,229",38.4,"1,076",33.6,4.8
139,Seattle U (WAC),32,20-12,"1,186",37.1,"1,125",35.2,1.9
162,Seton Hall (Big East),32,17-15,"1,121",35,"1,082",33.8,1.2
169,SFA (WAC),32,19-13,"1,102",34.4,"1,067",33.3,1.1
106,Siena (MAAC),32,17-15,"1,098",34.3,"1,019",31.8,2.5
155,SIUE (OVC),33,19-14,"1,222",37,"1,171",35.5,1.5
296,SMU (AAC),32,10-22,"1,118",34.9,"1,201",37.5,-2.6
311,South Alabama (Sun Belt),35,19-16,"1,143",32.7,"1,253",35.8,-3.1
275,South Carolina St. (MEAC),31,5-26,"1,097",35.4,"1,152",37.2,-1.8
245,South Carolina (SEC),32,11-21,"1,091",34.1,"1,122",35.1,-1
270,South Dakota St. (Summit League),32,19-13,"1,040",32.5,"1,092",34.1,-1.6
230,South Dakota (Summit League),31,12-19,"1,041",33.6,"1,060",34.2,-0.6
72,South Fla. (AAC),32,14-18,"1,197",37.4,"1,087",34,3.4
238,Southeast Mo. St. (OVC),35,19-16,"1,232",35.2,"1,260",36,-0.8
241,Southeastern La. (Southland),32,18-14,"1,107",34.6,"1,135",35.5,-0.9
228,Southern California (Pac-12),32,22-10,"1,128",35.2,"1,147",35.8,-0.6
240,Southern Ill. (MVC),33,23-10,"1,040",31.5,"1,067",32.3,-0.8
85,Southern Miss. (Sun Belt),32,25-7,"1,171",36.6,"1,071",33.5,3.1
310,Southern U. (SWAC),32,15-17,"1,037",32.4,"1,136",35.5,-3.1
48,Southern Utah (WAC),34,22-12,"1,290",37.9,"1,154",33.9,4
274,St. Bonaventure (Atlantic 10),32,14-18,"1,048",32.8,"1,104",34.5,-1.8
253,St. Francis Brooklyn (NEC),30,14-16,"1,016",33.9,"1,053",35.1,-1.2
41,St. John's (NY) (Big East),33,18-15,"1,324",40.1,"1,178",35.7,4.4
91,Stanford (Pac-12),33,14-19,"1,137",34.5,"1,041",31.5,2.9
164,Stetson (ASUN),30,17-13,"1,028",34.3,992,33.1,1.2
255,Stony Brook (CAA),33,11-22,"1,119",33.9,"1,161",35.2,-1.3
263,Syracuse (ACC),32,17-15,"1,113",34.8,"1,159",36.2,-1.4
170,TCU (Big 12),33,21-12,"1,180",35.8,"1,144",34.7,1.1
182,Temple (AAC),32,16-16,"1,126",35.2,"1,108",34.6,0.6
184,Tennessee St. (OVC),32,18-14,"1,164",36.4,"1,148",35.9,0.5
290,Tennessee Tech (OVC),33,16-17,"1,159",35.1,"1,237",37.5,-2.4
10,Tennessee (SEC),33,23-10,"1,278",38.7,"1,050",31.8,6.9
35,Texas A&M (SEC),34,25-9,"1,252",36.8,"1,090",32.1,4.8
127,Texas Southern (SWAC),34,14-20,"1,282",37.7,"1,210",35.6,2.1
142,Texas St. (Sun Belt),35,16-19,"1,143",32.7,"1,078",30.8,1.9
111,Texas Tech (Big 12),32,16-16,"1,125",35.2,"1,049",32.8,2.4
235,Texas (Big 12),34,26-8,"1,168",34.4,"1,191",35,-0.7
338,The Citadel (SoCon),32,10-22,"1,015",31.7,"1,186",37.1,-5.3
191,Toledo (MAC),34,27-7,"1,163",34.2,"1,149",33.8,0.4
18,Towson (CAA),33,21-12,"1,232",37.3,"1,033",31.3,6
190,Troy (Sun Belt),33,20-13,"1,151",34.9,"1,137",34.5,0.4
347,Tulane (AAC),31,20-11,"1,037",33.5,"1,243",40.1,-6.6
348,Tulsa (AAC),30,5-25,958,31.9,"1,160",38.7,-6.7
23,UAB (C-USA),34,25-9,"1,378",40.5,"1,187",34.9,5.6
213,UAlbany (America East),31,8-23,"1,033",33.3,"1,040",33.5,-0.2
44,UC Davis (Big West),32,18-14,"1,186",37.1,"1,050",32.8,4.2
65,UC Irvine (Big West),34,23-11,"1,252",36.8,"1,129",33.2,3.6
30,UC Riverside (Big West),34,22-12,"1,251",36.8,"1,078",31.7,5.1
145,UC Santa Barbara (Big West),34,27-7,"1,090",32.1,"1,028",30.2,1.8
143,UCF (AAC),32,18-14,"1,120",35,"1,061",33.2,1.8
63,UCLA (Pac-12),34,29-5,"1,213",35.7,"1,089",32,3.6
2,UConn (Big East),33,25-8,"1,286",39,985,29.8,9.1
341,UIC (MVC),32,12-20,"1,037",32.4,"1,224",38.2,-5.8
320,UIW (Southland),31,12-19,976,31.5,"1,087",35.1,-3.6
215,ULM (Sun Belt),32,11-21,"1,124",35.1,"1,134",35.4,-0.3
4,UMass Lowell (America East),34,26-8,"1,314",38.6,"1,029",30.3,8.4
231,UMBC (America East),32,18-14,"1,093",34.2,"1,113",34.8,-0.6
285,UMES (MEAC),31,18-13,988,31.9,"1,057",34.1,-2.2
167,UNC Asheville (Big South),34,27-7,"1,194",35.1,"1,156",34,1.1
67,UNC Greensboro (SoCon),32,20-12,"1,180",36.9,"1,065",33.3,3.6
180,UNCW (CAA),34,24-10,"1,130",33.2,"1,107",32.6,0.7
209,UNI (MVC),32,14-18,"1,050",32.8,"1,054",32.9,-0.1
303,UNLV (Mountain West),32,19-13,"1,081",33.8,"1,167",36.5,-2.7
321,USC Upstate (Big South),31,16-15,976,31.5,"1,089",35.1,-3.6
120,UT Arlington (WAC),32,11-21,"1,148",35.9,"1,079",33.7,2.2
133,UT Martin (OVC),33,19-14,"1,293",39.2,"1,226",37.2,2
53,Utah St. (Mountain West),34,26-8,"1,210",35.6,"1,076",31.6,3.9
69,Utah Valley (WAC),33,25-8,"1,315",39.8,"1,198",36.3,3.5
45,Utah (Pac-12),32,17-15,"1,254",39.2,"1,120",35,4.2
116,UTEP (C-USA),32,14-18,"1,122",35.1,"1,050",32.8,2.2
70,UTRGV (WAC),32,15-17,"1,211",37.8,"1,099",34.3,3.5
265,UTSA (C-USA),32,10-22,"1,132",35.4,"1,181",36.9,-1.5
243,Valparaiso (MVC),32,11-21,"1,087",34,"1,116",34.9,-0.9
221,Vanderbilt (SEC),34,20-14,"1,230",36.2,"1,244",36.6,-0.4
192,VCU (Atlantic 10),34,27-7,"1,132",33.3,"1,120",32.9,0.4
249,Vermont (America East),33,23-10,"1,035",31.4,"1,072",32.5,-1.1
257,Villanova (Big East),33,17-16,"1,040",31.5,"1,083",32.8,-1.3
208,Virginia Tech (ACC),33,19-14,"1,102",33.4,"1,106",33.5,-0.1
203,Virginia (ACC),32,25-7,"1,025",32,"1,024",32,0
157,VMI (SoCon),32,7-25,"1,131",35.3,"1,084",33.9,1.5
32,Wagner (NEC),28,15-13,"1,005",35.9,865,30.9,5
219,Wake Forest (ACC),33,19-14,"1,129",34.2,"1,142",34.6,-0.4
81,Washington St. (Pac-12),33,17-16,"1,154",35,"1,050",31.8,3.2
330,Washington (Pac-12),32,16-16,"1,083",33.8,"1,218",38.1,-4.2
219,Weber St. (Big Sky),33,18-15,"1,032",31.3,"1,045",31.7,-0.4
104,West Virginia (Big 12),33,19-14,"1,117",33.8,"1,033",31.3,2.5
133,Western Caro. (SoCon),33,18-15,"1,224",37.1,"1,157",35.1,2
212,Western Ill. (Summit League),30,16-14,"1,034",34.5,"1,039",34.6,-0.2
293,Western Ky. (C-USA),33,17-16,"1,152",34.9,"1,232",37.3,-2.4
36,Western Mich. (MAC),31,8-23,"1,146",37,"1,000",32.3,4.7
