Rank,Team,GM,W-L,3FG,3FGA,3FG%
235,Western Mich. (MAC),31,8-23,250,757,33
324,Wichita St. (AAC),32,17-15,212,685,30.9
55,William & Mary (CAA),33,13-20,256,698,36.7
29,Winthrop (Big South),32,15-17,283,757,37.4
133,Wisconsin (Big Ten),31,17-14,252,720,35
236,Wofford (SoCon),33,17-16,247,748,33
92,Wright St. (Horizon),33,18-15,205,574,35.7
137,Wyoming (Mountain West),31,9-22,268,768,34.9
3,Xavier (Big East),34,25-9,257,650,39.5
69,Yale (Ivy League),29,21-8,217,599,36.2
50,Youngstown St. (Horizon),33,24-9,263,715,36.8
