Rank,Team,GM,W-L,OPP PTS,OPP PPG
6,Virginia (ACC),32,25-7,"1,928",60.2
329,VMI (SoCon),32,7-25,"2,457",76.8
13,Wagner (NEC),28,15-13,"1,727",61.7
278,Wake Forest (ACC),33,19-14,"2,435",73.8
47,Washington St. (Pac-12),33,17-16,"2,154",65.3
178,Washington (Pac-12),32,16-16,"2,248",70.2
101,Weber St. (Big Sky),33,18-15,"2,229",67.5
204,West Virginia (Big 12),33,19-14,"2,344",71
199,Western Caro. (SoCon),33,18-15,"2,340",70.9
246,Western Ill. (Summit League),30,16-14,"2,171",72.4
189,Western Ky. (C-USA),33,17-16,"2,330",70.6
285,Western Mich. (MAC),31,8-23,"2,295",74
125,Wichita St. (AAC),32,17-15,"2,191",68.5
181,William & Mary (CAA),33,13-20,"2,320",70.3
293,Winthrop (Big South),32,15-17,"2,382",74.4
29,Wisconsin (Big Ten),31,17-14,"1,978",63.8
250,Wofford (SoCon),33,17-16,"2,392",72.5
276,Wright St. (Horizon),33,18-15,"2,432",73.7
236,Wyoming (Mountain West),31,9-22,"2,234",72.1
286,Xavier (Big East),34,25-9,"2,518",74.1
24,Yale (Ivy League),29,21-8,"1,826",63
253,Youngstown St. (Horizon),33,24-9,"2,396",72.6
