Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
104,Western Ill. (Summit League),30,16-14,590,192,32.5
284,Western Ky. (C-USA),33,17-16,850,303,35.6
304,Western Mich. (MAC),31,8-23,712,257,36.1
172,Wichita St. (AAC),32,17-15,788,265,33.6
247,William & Mary (CAA),33,13-20,680,237,34.9
260,Winthrop (Big South),32,15-17,721,253,35.1
92,Wisconsin (Big Ten),31,17-14,592,191,32.3
242,Wofford (SoCon),33,17-16,801,278,34.7
114,Wright St. (Horizon),33,18-15,798,262,32.8
309,Wyoming (Mountain West),31,9-22,684,248,36.3
294,Xavier (Big East),34,25-9,714,256,35.9
80,Yale (Ivy League),29,21-8,650,209,32.2
226,Youngstown St. (Horizon),33,24-9,679,234,34.5
