Rank,Team,GM,W-L,FGM,FGA,FG%
153,Weber St. (Big Sky),33,18-15,779,"1,727",45.1
133,West Virginia (Big 12),33,19-14,860,"1,897",45.3
262,Western Caro. (SoCon),33,18-15,846,"1,962",43.1
137,Western Ill. (Summit League),30,16-14,795,"1,755",45.3
212,Western Ky. (C-USA),33,17-16,839,"1,907",44
256,Western Mich. (MAC),31,8-23,786,"1,820",43.2
161,Wichita St. (AAC),32,17-15,827,"1,839",45
253,William & Mary (CAA),33,13-20,791,"1,829",43.2
42,Winthrop (Big South),32,15-17,787,"1,671",47.1
310,Wisconsin (Big Ten),31,17-14,737,"1,778",41.5
33,Wofford (SoCon),33,17-16,906,"1,916",47.3
3,Wright St. (Horizon),33,18-15,"1,031","2,077",49.6
211,Wyoming (Mountain West),31,9-22,740,"1,680",44
6,Xavier (Big East),34,25-9,"1,027","2,077",49.4
21,Yale (Ivy League),29,21-8,817,"1,698",48.1
9,Youngstown St. (Horizon),33,24-9,995,"2,026",49.1
