Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
335,Eastern Mich. (MAC),31,8-23,"2,239",72.2,"2,505",80.8,-8.6
89,Eastern Wash. (Big Sky),32,22-10,"2,466",77.1,"2,284",71.4,5.7
318,Elon (CAA),32,8-24,"2,094",65.4,"2,291",71.6,-6.2
211,ETSU (SoCon),32,12-20,"2,211",69.1,"2,208",69,0.1
350,Evansville (MVC),32,5-27,"1,997",62.4,"2,432",76,-13.6
242,Fairfield (MAAC),31,13-18,"2,012",64.9,"2,045",66,-1.1
152,FDU (NEC),34,19-15,"2,646",77.8,"2,547",74.9,2.9
177,FGCU (ASUN),32,17-15,"2,280",71.2,"2,222",69.4,1.8
260,FIU (C-USA),32,14-18,"2,339",73.1,"2,404",75.1,-2
6,Fla. Atlantic (C-USA),34,31-3,"2,679",78.8,"2,209",65,13.8
343,Florida A&M (SWAC),29,7-22,"1,700",58.6,"2,030",70,-11.4
324,Florida St. (ACC),32,9-23,"2,219",69.3,"2,439",76.2,-6.9
143,Florida (SEC),32,16-16,"2,302",71.9,"2,197",68.7,3.3
118,Fordham (Atlantic 10),33,25-8,"2,376",72,"2,231",67.6,4.4
259,Fresno St. (Mountain West),31,11-20,"1,974",63.7,"2,036",65.7,-2
20,Furman (SoCon),34,27-7,"2,791",82.1,"2,421",71.2,10.9
179,Ga. Southern (Sun Belt),33,17-16,"2,257",68.4,"2,201",66.7,1.7
102,Gardner-Webb (Big South),31,15-16,"2,192",70.7,"2,032",65.5,5.2
183,George Mason (Atlantic 10),33,20-13,"2,268",68.7,"2,220",67.3,1.5
222,George Washington (Atlantic 10),32,16-16,"2,441",76.3,"2,455",76.7,-0.4
337,Georgetown (Big East),32,7-25,"2,225",69.5,"2,500",78.1,-8.6
269,Georgia St. (Sun Belt),31,10-21,"2,068",66.7,"2,150",69.4,-2.6
239,Georgia Tech (ACC),33,15-18,"2,301",69.7,"2,335",70.8,-1
