Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
137,Western Caro. (SoCon),33,18-15,"2,457",74.5,"2,340",70.9,3.5
200,Western Ill. (Summit League),30,16-14,"2,191",73,"2,171",72.4,0.7
196,Western Ky. (C-USA),33,17-16,"2,355",71.4,"2,330",70.6,0.8
297,Western Mich. (MAC),31,8-23,"2,166",69.9,"2,295",74,-4.2
163,Wichita St. (AAC),32,17-15,"2,272",71,"2,191",68.5,2.5
282,William & Mary (CAA),33,13-20,"2,219",67.2,"2,320",70.3,-3.1
228,Winthrop (Big South),32,15-17,"2,360",73.8,"2,382",74.4,-0.7
191,Wisconsin (Big Ten),31,17-14,"2,013",64.9,"1,978",63.8,1.1
169,Wofford (SoCon),33,17-16,"2,466",74.7,"2,392",72.5,2.2
83,Wright St. (Horizon),33,18-15,"2,637",79.9,"2,432",73.7,6.2
276,Wyoming (Mountain West),31,9-22,"2,144",69.2,"2,234",72.1,-2.9
58,Xavier (Big East),34,25-9,"2,768",81.4,"2,518",74.1,7.4
12,Yale (Ivy League),29,21-8,"2,211",76.2,"1,826",63,13.3
26,Youngstown St. (Horizon),33,24-9,"2,721",82.5,"2,396",72.6,9.8
