Rank,Team,GM,W-L,ST,STPG
11,James Madison (Sun Belt),33,22-11,298,9
225,Kansas City (Summit League),32,11-21,192,6
57,Kansas St. (Big 12),32,23-9,246,7.7
20,Kansas (Big 12),34,27-7,299,8.8
50,Kennesaw St. (ASUN),34,26-8,271,8
15,Kent St. (MAC),34,28-6,303,8.9
168,Kentucky (SEC),32,21-11,207,6.5
143,La Salle (Atlantic 10),34,15-19,229,6.7
240,Lafayette (Patriot),34,11-23,196,5.8
175,Lamar University (Southland),31,9-22,199,6.4
201,Lehigh (Patriot),30,16-14,187,6.2
171,Liberty (ASUN),34,26-8,219,6.4
291,Lipscomb (ASUN),33,20-13,177,5.4
142,Little Rock (OVC),31,10-21,209,6.7
156,LIU (NEC),29,3-26,192,6.6
279,LMU (CA) (WCC),31,19-12,169,5.5
75,Long Beach St. (Big West),33,17-16,245,7.4
173,Longwood (Big South),32,20-12,206,6.4
55,Louisiana Tech (C-USA),33,15-18,260,7.9
96,Louisiana (Sun Belt),33,26-7,236,7.2
341,Louisville (ACC),32,4-28,145,4.5
258,Loyola Chicago (Atlantic 10),31,10-21,175,5.6
70,Loyola Maryland (Patriot),33,13-20,247,7.5
139,LSU (SEC),33,14-19,223,6.8
6,Maine (America East),30,13-17,284,9.5
62,Manhattan (MAAC),30,12-18,227,7.6
229,Marist (MAAC),33,13-20,195,5.9
7,Marquette (Big East),34,28-6,320,9.4
12,Marshall (Sun Belt),32,24-8,288,9
291,Maryland (Big Ten),33,21-12,177,5.4
133,Massachusetts (Atlantic 10),31,15-16,211,6.8
88,McNeese (Southland),34,11-23,246,7.2
25,Memphis (AAC),34,26-8,295,8.7
262,Mercer (SoCon),33,14-19,185,5.6
81,Miami (FL) (ACC),32,25-7,235,7.3
214,Miami (OH) (MAC),32,12-20,195,6.1
339,Michigan St. (Big Ten),31,19-12,142,4.6
326,Michigan (Big Ten),32,17-15,154,4.8
64,Middle Tenn. (C-USA),33,19-14,249,7.5
110,Milwaukee (Horizon),32,21-11,224,7
335,Minnesota (Big Ten),31,9-22,143,4.6
17,Mississippi St. (SEC),33,21-12,292,8.8
60,Mississippi Val. (SWAC),32,5-27,243,7.6
202,Missouri St. (MVC),32,17-15,199,6.2
2,Missouri (SEC),33,24-9,341,10.3
29,Monmouth (CAA),33,7-26,278,8.4
165,Montana St. (Big Sky),34,25-9,221,6.5
332,Montana (Big Sky),31,17-14,146,4.7
236,Morehead St. (OVC),32,21-11,185,5.8
3,Morgan St. (MEAC),31,15-16,303,9.8
270,Mount St. Mary's (MAAC),33,13-20,182,5.5
280,Murray St. (MVC),32,17-15,174,5.4
69,N.C. A&T (CAA),32,13-19,240,7.5
52,N.C. Central (MEAC),30,18-12,239,8
119,Navy (Patriot),31,18-13,215,6.9
53,NC State (ACC),33,23-10,262,7.9
268,Nebraska (Big Ten),32,16-16,177,5.5
218,Nevada (Mountain West),32,22-10,194,6.1
289,New Hampshire (America East),30,15-15,161,5.4
83,New Mexico St. (WAC),24,9-15,176,7.3
146,New Mexico (Mountain West),33,22-11,221,6.7
144,New Orleans (Southland),32,12-20,215,6.7
296,Niagara (MAAC),31,16-15,165,5.3
4,Nicholls (Southland),31,16-15,302,9.7
168,NIU (MAC),32,13-19,207,6.5
295,NJIT (America East),30,7-23,160,5.3
103,Norfolk St. (MEAC),33,22-11,234,7.1
231,North Ala. (ASUN),32,18-14,187,5.8
291,North Carolina (ACC),33,20-13,177,5.4
352,North Dakota St. (Summit League),33,16-17,130,3.9
344,North Dakota (Summit League),33,13-20,146,4.4
320,North Florida (ASUN),31,14-17,154,5
188,North Texas (C-USA),33,26-7,209,6.3
321,Northeastern (CAA),30,10-20,149,5
297,Northern Ariz. (Big Sky),35,12-23,185,5.3
338,Northern Colo. (Big Sky),32,12-20,147,4.6
7,Northern Ky. (Horizon),34,22-12,320,9.4
37,Northwestern St. (Southland),33,22-11,273,8.3
51,Northwestern (Big Ten),32,21-11,255,8
333,Notre Dame (ACC),32,11-21,150,4.7
72,Oakland (Horizon),32,13-19,239,7.5
301,Ohio St. (Big Ten),35,16-19,181,5.2
146,Ohio (MAC),33,19-14,221,6.7
251,Oklahoma St. (Big 12),33,18-15,188,5.7
247,Oklahoma (Big 12),32,15-17,183,5.7
184,Old Dominion (Sun Belt),31,19-12,197,6.4
98,Ole Miss (SEC),33,12-21,235,7.1
285,Omaha (Summit League),32,9-23,172,5.4
124,Oral Roberts (Summit League),34,30-4,234,6.9
285,Oregon St. (Pac-12),32,11-21,172,5.4
256,Oregon (Pac-12),33,19-14,187,5.7
281,Pacific (WCC),33,15-18,179,5.4
347,Penn St. (Big Ten),35,22-13,153,4.4
267,Penn (Ivy League),30,17-13,166,5.5
283,Pepperdine (WCC),31,9-22,168,5.4
302,Pittsburgh (ACC),33,22-11,170,5.2
100,Portland St. (Big Sky),31,12-19,220,7.1
317,Portland (WCC),33,14-19,164,5
63,Prairie View (SWAC),32,13-19,242,7.6
271,Presbyterian (Big South),32,5-27,176,5.5
322,Princeton (Ivy League),29,21-8,143,4.9
122,Providence (Big East),32,21-11,221,6.9
81,Purdue Fort Wayne (Horizon),32,17-15,235,7.3
327,Purdue (Big Ten),34,29-5,163,4.8
208,Quinnipiac (MAAC),32,20-12,196,6.1
98,Radford (Big South),33,19-14,235,7.1
175,Rhode Island (Atlantic 10),31,9-22,199,6.4
241,Rice (C-USA),33,18-15,190,5.8
246,Richmond (Atlantic 10),33,15-18,189,5.7
289,Rider (MAAC),30,16-14,161,5.4
151,Robert Morris (Horizon),33,16-17,220,6.7
21,Rutgers (Big Ten),33,19-14,290,8.8
342,Sacramento St. (Big Sky),32,14-18,143,4.5
56,Sacred Heart (NEC),33,16-17,259,7.8
346,Saint Francis (PA) (NEC),31,13-18,137,4.4
161,Saint Joseph's (Atlantic 10),33,16-17,216,6.5
314,Saint Louis (Atlantic 10),33,21-12,166,5
132,Saint Mary's (CA) (WCC),33,26-7,225,6.8
199,Saint Peter's (MAAC),32,14-18,200,6.2
28,Sam Houston (WAC),32,25-7,270,8.4
42,Samford (SoCon),32,21-11,260,8.1
105,San Diego St. (Mountain West),33,27-6,233,7.1
149,San Diego (WCC),31,11-20,207,6.7
136,San Francisco (WCC),34,20-14,230,6.8
351,San Jose St. (Mountain West),33,20-13,133,4
225,Santa Clara (WCC),32,23-9,192,6
208,Seattle U (WAC),32,20-12,196,6.1
33,Seton Hall (Big East),32,17-15,267,8.3
16,SFA (WAC),32,19-13,284,8.9
