Rank,Team,GM,W-L,TO,TOPG
31,Saint Mary's (CA) (WCC),33,26-7,352,10.7
173,Saint Peter's (MAAC),32,14-18,393,12.3
251,Sam Houston (WAC),32,25-7,423,13.2
204,Samford (SoCon),32,21-11,405,12.7
110,San Diego St. (Mountain West),33,27-6,389,11.8
72,San Diego (WCC),31,11-20,355,11.5
293,San Francisco (WCC),34,20-14,469,13.8
134,San Jose St. (Mountain West),33,20-13,395,12
183,Santa Clara (WCC),32,23-9,397,12.4
129,Seattle U (WAC),32,20-12,382,11.9
301,Seton Hall (Big East),32,17-15,448,14
339,SFA (WAC),32,19-13,493,15.4
241,Siena (MAAC),32,17-15,420,13.1
216,SIUE (OVC),33,19-14,421,12.8
226,SMU (AAC),32,10-22,413,12.9
10,South Alabama (Sun Belt),35,19-16,342,9.8
341,South Carolina St. (MEAC),31,5-26,486,15.7
246,South Carolina (SEC),32,11-21,421,13.2
85,South Dakota St. (Summit League),32,19-13,371,11.6
88,South Dakota (Summit League),31,12-19,360,11.6
285,South Fla. (AAC),32,14-18,437,13.7
240,Southeast Mo. St. (OVC),35,19-16,459,13.1
161,Southeastern La. (Southland),32,18-14,390,12.2
187,Southern California (Pac-12),32,22-10,399,12.5
194,Southern Ill. (MVC),33,23-10,414,12.5
118,Southern Miss. (Sun Belt),32,25-7,379,11.8
325,Southern U. (SWAC),32,15-17,468,14.6
243,Southern Utah (WAC),34,22-12,447,13.1
204,St. Bonaventure (Atlantic 10),32,14-18,405,12.7
294,St. Francis Brooklyn (NEC),30,14-16,414,13.8
301,St. John's (NY) (Big East),33,18-15,462,14
191,Stanford (Pac-12),33,14-19,413,12.5
22,Stetson (ASUN),30,17-13,314,10.5
191,Stony Brook (CAA),33,11-22,413,12.5
94,Syracuse (ACC),32,17-15,373,11.7
159,TCU (Big 12),33,21-12,402,12.2
279,Temple (AAC),32,16-16,434,13.6
196,Tennessee St. (OVC),32,18-14,403,12.6
198,Tennessee Tech (OVC),33,16-17,416,12.6
143,Tennessee (SEC),33,23-10,398,12.1
179,Texas A&M (SEC),34,25-9,420,12.4
324,Texas Southern (SWAC),34,14-20,497,14.6
103,Texas St. (Sun Belt),35,16-19,411,11.7
292,Texas Tech (Big 12),32,16-16,441,13.8
99,Texas (Big 12),34,26-8,398,11.7
173,The Citadel (SoCon),32,10-22,393,12.3
9,Toledo (MAC),34,27-7,332,9.8
167,Towson (CAA),33,21-12,404,12.2
223,Troy (Sun Belt),33,20-13,424,12.8
65,Tulane (AAC),31,20-11,351,11.3
254,Tulsa (AAC),30,5-25,397,13.2
200,UAB (C-USA),34,25-9,429,12.6
261,UAlbany (America East),31,8-23,414,13.4
328,UC Davis (Big West),32,18-14,471,14.7
179,UC Irvine (Big West),34,23-11,420,12.4
170,UC Riverside (Big West),34,22-12,417,12.3
61,UC Santa Barbara (Big West),34,27-7,383,11.3
246,UCF (AAC),32,18-14,421,13.2
20,UCLA (Pac-12),34,29-5,349,10.3
230,UConn (Big East),33,25-8,427,12.9
221,UIC (MVC),32,12-20,410,12.8
291,UIW (Southland),31,12-19,426,13.7
204,ULM (Sun Belt),32,11-21,405,12.7
288,UMass Lowell (America East),34,26-8,466,13.7
15,UMBC (America East),32,18-14,323,10.1
326,UMES (MEAC),31,18-13,454,14.6
308,UNC Asheville (Big South),34,27-7,480,14.1
104,UNC Greensboro (SoCon),32,20-12,376,11.8
135,UNCW (CAA),34,24-10,408,12
140,UNI (MVC),32,14-18,385,12
176,UNLV (Mountain West),32,19-13,394,12.3
261,USC Upstate (Big South),31,16-15,414,13.4
296,UT Arlington (WAC),32,11-21,443,13.8
131,UT Martin (OVC),33,19-14,394,11.9
146,Utah St. (Mountain West),34,26-8,411,12.1
297,Utah Valley (WAC),33,25-8,457,13.8
140,Utah (Pac-12),32,17-15,385,12
342,UTEP (C-USA),32,14-18,505,15.8
347,UTRGV (WAC),32,15-17,514,16.1
289,UTSA (C-USA),32,10-22,439,13.7
208,Valparaiso (MVC),32,11-21,406,12.7
39,Vanderbilt (SEC),34,20-14,368,10.8
260,VCU (Atlantic 10),34,27-7,454,13.4
5,Vermont (America East),33,23-10,308,9.3
16,Villanova (Big East),33,17-16,335,10.2
13,Virginia Tech (ACC),33,19-14,328,9.9
1,Virginia (ACC),32,25-7,274,8.6
222,VMI (SoCon),32,7-25,411,12.8
132,Wagner (NEC),28,15-13,335,12
148,Wake Forest (ACC),33,19-14,399,12.1
139,Washington St. (Pac-12),33,17-16,397,12
301,Washington (Pac-12),32,16-16,448,14
219,Weber St. (Big Sky),33,18-15,422,12.8
233,West Virginia (Big 12),33,19-14,428,13
35,Western Caro. (SoCon),33,18-15,355,10.8
33,Western Ill. (Summit League),30,16-14,322,10.7
86,Western Ky. (C-USA),33,17-16,383,11.6
215,Western Mich. (MAC),31,8-23,395,12.7
193,Wichita St. (AAC),32,17-15,401,12.5
143,William & Mary (CAA),33,13-20,398,12.1
299,Winthrop (Big South),32,15-17,447,14
2,Wisconsin (Big Ten),31,17-14,270,8.7
43,Wofford (SoCon),33,17-16,361,10.9
210,Wright St. (Horizon),33,18-15,419,12.7
133,Wyoming (Mountain West),31,9-22,371,12
200,Xavier (Big East),34,25-9,429,12.6
53,Yale (Ivy League),29,21-8,324,11.2
50,Youngstown St. (Horizon),33,24-9,368,11.2
